file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,1879247000,,-3,Prior3YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,2460737000,,-3,Prior2YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,2739493000,,-3,Prior1YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,3311089000,,-3,CurrentYearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,3502535000,,-3,Prior4YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,4785839000,,-3,Prior3YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,5537498000,,-3,Prior2YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,5681530000,,-3,Prior1YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,6709167000,,-3,CurrentYearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,652.84,,2,Prior4YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,400.37,,2,Prior3YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,524.25,,2,Prior2YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,583.64,,2,Prior1YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,705.43,,2,CurrentYearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,81.40,,2,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,77.29,,2,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,132.80,,2,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,85.65,,2,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,140.77,,2,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.437,,3,Prior4YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.393,,3,Prior3YearInstant
