,version,提出日,提出回数,報告対象期間期末日,追番,第N期,名前空間接頭辞,tag,id,context,開始日,終了日,期末日,連結,値
60,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2016-09-30,,True,-135717000
61,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2017-09-30,,True,-174885000
62,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,-232227000
63,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,CashAndCashEquivalentsSummaryOfBusinessResults,,Prior1QuarterInstant,,,2016-09-30,True,3264906000
64,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,CashAndCashEquivalentsSummaryOfBusinessResults,,CurrentQuarterInstant,,,2017-09-30,True,3435079000
65,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,CashAndCashEquivalentsSummaryOfBusinessResults,,Prior1YearInstant,,,2017-06-30,True,3947673000
66,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,RevenuesFromExternalCustomers,,Prior1YTDDuration_jpcrp040300-q1r_E05663-000ConsolidatedStatementReportableSegmentMember,2016-07-01,2016-09-30,,True,1293586000
67,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,RevenuesFromExternalCustomers,,Prior1YTDDuration_jpcrp040300-q1r_E05663-000BusinessIntelligenceReportableSegmentMember,2016-07-01,2016-09-30,,True,747530000
68,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,RevenuesFromExternalCustomers,,Prior1YTDDuration_jpcrp040300-q1r_E05663-000OutsourcingReportableSegmentMember,2016-07-01,2016-09-30,,True,231725000
69,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,RevenuesFromExternalCustomers,,Prior1YTDDuration_TotalOfReportableSegmentsAndOthersMember,2016-07-01,2016-09-30,,True,2272841000
