"indicatorCd","unitCd","statCd","regionCd","timeCd","cycle","regionRank","isSeasonal","isProvisional","value","cellAnnotations"
"0201020000000010000","090","20020101","45000","1975CY00","3","3","1","0","1083957",
"0201020000000010000","090","20020101","46000","1975CY00","3","3","1","0","1722732",
"0201020000000010000","090","20020101","47000","1975CY00","3","3","1","0","1036288",
"0201020000000010000","090","20020101","01000","1976CY00","3","3","1","0","5388000",
"0201020000000010000","090","20020101","02000","1976CY00","3","3","1","0","1482000",
"0201020000000010000","090","20020101","03000","1976CY00","3","3","1","0","1394000",
"0201020000000010000","090","20020101","04000","1976CY00","3","3","1","0","1980000",
"0201020000000010000","090","20020101","05000","1976CY00","3","3","1","0","1238000",
"0201020000000010000","090","20020101","06000","1976CY00","3","3","1","0","1226000",
"0201020000000010000","090","20020101","07000","1976CY00","3","3","1","0","1982000",
"0201020000000010000","090","20020101","08000","1976CY00","3","3","1","0","2376000",
"0201020000000010000","090","20020101","09000","1976CY00","3","3","1","0","1715000",
"0201020000000010000","090","20020101","10000","1976CY00","3","3","1","0","1775000",
"0201020000000010000","090","20020101","11000","1976CY00","3","3","1","0","4954000",
"0201020000000010000","090","20020101","12000","1976CY00","3","3","1","0","4256000",
"0201020000000010000","090","20020101","13000","1976CY00","3","3","1","0","11587000",
"0201020000000010000","090","20020101","14000","1976CY00","3","3","1","0","6474000",
"0201020000000010000","090","20020101","15000","1976CY00","3","3","1","0","2403000",
"0201020000000010000","090","20020101","16000","1976CY00","3","3","1","0","1077000",
"0201020000000010000","090","20020101","17000","1976CY00","3","3","1","0","1079000",
"0201020000000010000","090","20020101","18000","1976CY00","3","3","1","0","775000",
"0201020000000010000","090","20020101","19000","1976CY00","3","3","1","0","786000",
"0201020000000010000","090","20020101","20000","1976CY00","3","3","1","0","2028000",
"0201020000000010000","090","20020101","21000","1976CY00","3","3","1","0","1879000",
"0201020000000010000","090","20020101","22000","1976CY00","3","3","1","0","3333000",
"0201020000000010000","090","20020101","23000","1976CY00","3","3","1","0","5938000",
"0201020000000010000","090","20020101","24000","1976CY00","3","3","1","0","1630000",
"0201020000000010000","090","20020101","25000","1976CY00","3","3","1","0","999000",
"0201020000000010000","090","20020101","26000","1976CY00","3","3","1","0","2409000",
"0201020000000010000","090","20020101","27000","1976CY00","3","3","1","0","8164000",
"0201020000000010000","090","20020101","28000","1976CY00","3","3","1","0","4956000",
"0201020000000010000","090","20020101","29000","1976CY00","3","3","1","0","1093000",
"0201020000000010000","090","20020101","30000","1976CY00","3","3","1","0","1073000",
"0201020000000010000","090","20020101","31000","1976CY00","3","3","1","0","584000",
"0201020000000010000","090","20020101","32000","1976CY00","3","3","1","0","770000",
"0201020000000010000","090","20020101","33000","1976CY00","3","3","1","0","1821000",
"0201020000000010000","090","20020101","34000","1976CY00","3","3","1","0","2655000",
"0201020000000010000","090","20020101","35000","1976CY00","3","3","1","0","1550000",
"0201020000000010000","090","20020101","36000","1976CY00","3","3","1","0","809000",
"0201020000000010000","090","20020101","37000","1976CY00","3","3","1","0","969000",
"0201020000000010000","090","20020101","38000","1976CY00","3","3","1","0","1474000",
"0201020000000010000","090","20020101","39000","1976CY00","3","3","1","0","813000",
"0201020000000010000","090","20020101","40000","1976CY00","3","3","1","0","4329000",
"0201020000000010000","090","20020101","41000","1976CY00","3","3","1","0","841000",
"0201020000000010000","090","20020101","42000","1976CY00","3","3","1","0","1573000",
"0201020000000010000","090","20020101","43000","1976CY00","3","3","1","0","1729000",
"0201020000000010000","090","20020101","44000","1976CY00","3","3","1","0","1197000",
"0201020000000010000","090","20020101","45000","1976CY00","3","3","1","0","1099000",
"0201020000000010000","090","20020101","46000","1976CY00","3","3","1","0","1734000",
"0201020000000010000","090","20020101","47000","1976CY00","3","3","1","0","1053000",
"0201020000000010000","090","20020101","01000","1977CY00","3","3","1","0","5436000",
"0201020000000010000","090","20020101","02000","1977CY00","3","3","1","0","1494000",
