,0,1,2,3,4,5,6,7,8,9,10
135,0201010010000010010,090,20020101,11000,1977CY00,3,3,1,0,1420000,
136,0201010010000010010,090,20020101,12000,1977CY00,3,3,1,0,1160000,
137,0201010010000010010,090,20020101,13000,1977CY00,3,3,1,0,2621000,
138,0201010010000010010,090,20020101,14000,1977CY00,3,3,1,0,1706000,
139,0201010010000010010,090,20020101,15000,1977CY00,3,3,1,0,559000,
140,0201010010000010010,090,20020101,16000,1977CY00,3,3,1,0,251000,
141,0201010010000010010,090,20020101,17000,1977CY00,3,3,1,0,264000,
142,0201010010000010010,090,20020101,18000,1977CY00,3,3,1,0,184000,
143,0201010010000010010,090,20020101,19000,1977CY00,3,3,1,0,186000,
144,0201010010000010010,090,20020101,20000,1977CY00,3,3,1,0,470000,
145,0201010010000010010,090,20020101,21000,1977CY00,3,3,1,0,470000,
146,0201010010000010010,090,20020101,22000,1977CY00,3,3,1,0,829000,
147,0201010010000010010,090,20020101,23000,1977CY00,3,3,1,0,1592000,
148,0201010010000010010,090,20020101,24000,1977CY00,3,3,1,0,387000,
149,0201010010000010010,090,20020101,25000,1977CY00,3,3,1,0,251000,
150,0201010010000010010,090,20020101,26000,1977CY00,3,3,1,0,585000,
151,0201010010000010010,090,20020101,27000,1977CY00,3,3,1,0,2170000,
152,0201010010000010010,090,20020101,28000,1977CY00,3,3,1,0,1245000,
153,0201010010000010010,090,20020101,29000,1977CY00,3,3,1,0,277000,
154,0201010010000010010,090,20020101,30000,1977CY00,3,3,1,0,247000,
155,0201010010000010010,090,20020101,31000,1977CY00,3,3,1,0,129000,
156,0201010010000010010,090,20020101,32000,1977CY00,3,3,1,0,167000,
157,0201010010000010010,090,20020101,33000,1977CY00,3,3,1,0,425000,
158,0201010010000010010,090,20020101,34000,1977CY00,3,3,1,0,648000,
159,0201010010000010010,090,20020101,35000,1977CY00,3,3,1,0,359000,
160,0201010010000010010,090,20020101,36000,1977CY00,3,3,1,0,177000,
161,0201010010000010010,090,20020101,37000,1977CY00,3,3,1,0,220000,
162,0201010010000010010,090,20020101,38000,1977CY00,3,3,1,0,339000,
163,0201010010000010010,090,20020101,39000,1977CY00,3,3,1,0,171000,
164,0201010010000010010,090,20020101,40000,1977CY00,3,3,1,0,1030000,
165,0201010010000010010,090,20020101,41000,1977CY00,3,3,1,0,197000,
166,0201010010000010010,090,20020101,42000,1977CY00,3,3,1,0,397000,
167,0201010010000010010,090,20020101,43000,1977CY00,3,3,1,0,387000,
168,0201010010000010010,090,20020101,44000,1977CY00,3,3,1,0,271000,
169,0201010010000010010,090,20020101,45000,1977CY00,3,3,1,0,262000,
170,0201010010000010010,090,20020101,46000,1977CY00,3,3,1,0,388000,
171,0201010010000010010,090,20020101,47000,1977CY00,3,3,1,0,318000,
172,0201010010000010010,090,20020101,01000,1978CY00,3,3,1,0,1293000,
173,0201010010000010010,090,20020101,02000,1978CY00,3,3,1,0,364000,
174,0201010010000010010,090,20020101,03000,1978CY00,3,3,1,0,320000,
175,0201010010000010010,090,20020101,04000,1978CY00,3,3,1,0,469000,
176,0201010010000010010,090,20020101,05000,1978CY00,3,3,1,0,259000,
177,0201010010000010010,090,20020101,06000,1978CY00,3,3,1,0,263000,
178,0201010010000010010,090,20020101,07000,1978CY00,3,3,1,0,454000,
179,0201010010000010010,090,20020101,08000,1978CY00,3,3,1,0,597000,
180,0201010010000010010,090,20020101,09000,1978CY00,3,3,1,0,420000,
181,0201010010000010010,090,20020101,10000,1978CY00,3,3,1,0,434000,
182,0201010010000010010,090,20020101,11000,1978CY00,3,3,1,0,1442000,
183,0201010010000010010,090,20020101,12000,1978CY00,3,3,1,0,1185000,
184,0201010010000010010,090,20020101,13000,1978CY00,3,3,1,0,2619000,
185,0201010010000010010,090,20020101,14000,1978CY00,3,3,1,0,1729000,
186,0201010010000010010,090,20020101,15000,1978CY00,3,3,1,0,558000,
187,0201010010000010010,090,20020101,16000,1978CY00,3,3,1,0,251000,
188,0201010010000010010,090,20020101,17000,1978CY00,3,3,1,0,266000,
189,0201010010000010010,090,20020101,18000,1978CY00,3,3,1,0,183000,
190,0201010010000010010,090,20020101,19000,1978CY00,3,3,1,0,185000,
191,0201010010000010010,090,20020101,20000,1978CY00,3,3,1,0,471000,
192,0201010010000010010,090,20020101,21000,1978CY00,3,3,1,0,470000,
193,0201010010000010010,090,20020101,22000,1978CY00,3,3,1,0,828000,
194,0201010010000010010,090,20020101,23000,1978CY00,3,3,1,0,1604000,
195,0201010010000010010,090,20020101,24000,1978CY00,3,3,1,0,385000,
196,0201010010000010010,090,20020101,25000,1978CY00,3,3,1,0,256000,
197,0201010010000010010,090,20020101,26000,1978CY00,3,3,1,0,591000,
198,0201010010000010010,090,20020101,27000,1978CY00,3,3,1,0,2170000,
199,0201010010000010010,090,20020101,28000,1978CY00,3,3,1,0,1245000,
200,0201010010000010010,090,20020101,29000,1978CY00,3,3,1,0,284000,
201,0201010010000010010,090,20020101,30000,1978CY00,3,3,1,0,245000,
202,0201010010000010010,090,20020101,31000,1978CY00,3,3,1,0,130000,
203,0201010010000010010,090,20020101,32000,1978CY00,3,3,1,0,167000,
204,0201010010000010010,090,20020101,33000,1978CY00,3,3,1,0,426000,
205,0201010010000010010,090,20020101,34000,1978CY00,3,3,1,0,650000,
206,0201010010000010010,090,20020101,35000,1978CY00,3,3,1,0,359000,
207,0201010010000010010,090,20020101,36000,1978CY00,3,3,1,0,176000,
208,0201010010000010010,090,20020101,37000,1978CY00,3,3,1,0,222000,
209,0201010010000010010,090,20020101,38000,1978CY00,3,3,1,0,336000,
210,0201010010000010010,090,20020101,39000,1978CY00,3,3,1,0,169000,
211,0201010010000010010,090,20020101,40000,1978CY00,3,3,1,0,1039000,
212,0201010010000010010,090,20020101,41000,1978CY00,3,3,1,0,195000,
213,0201010010000010010,090,20020101,42000,1978CY00,3,3,1,0,393000,
214,0201010010000010010,090,20020101,43000,1978CY00,3,3,1,0,383000,
215,0201010010000010010,090,20020101,44000,1978CY00,3,3,1,0,269000,
216,0201010010000010010,090,20020101,45000,1978CY00,3,3,1,0,260000,
217,0201010010000010010,090,20020101,46000,1978CY00,3,3,1,0,380000,
218,0201010010000010010,090,20020101,47000,1978CY00,3,3,1,0,312000,
219,0201010010000010010,090,20020101,01000,1979CY00,3,3,1,0,1283000,
220,0201010010000010010,090,20020101,02000,1979CY00,3,3,1,0,358000,
221,0201010010000010010,090,20020101,03000,1979CY00,3,3,1,0,314000,
222,0201010010000010010,090,20020101,04000,1979CY00,3,3,1,0,472000,
223,0201010010000010010,090,20020101,05000,1979CY00,3,3,1,0,255000,
224,0201010010000010010,090,20020101,06000,1979CY00,3,3,1,0,262000,
225,0201010010000010010,090,20020101,07000,1979CY00,3,3,1,0,450000,
226,0201010010000010010,090,20020101,08000,1979CY00,3,3,1,0,603000,
227,0201010010000010010,090,20020101,09000,1979CY00,3,3,1,0,422000,
228,0201010010000010010,090,20020101,10000,1979CY00,3,3,1,0,433000,
229,0201010010000010010,090,20020101,11000,1979CY00,3,3,1,0,1454000,
230,0201010010000010010,090,20020101,12000,1979CY00,3,3,1,0,1202000,
231,0201010010000010010,090,20020101,13000,1979CY00,3,3,1,0,2597000,
232,0201010010000010010,090,20020101,14000,1979CY00,3,3,1,0,1740000,
233,0201010010000010010,090,20020101,15000,1979CY00,3,3,1,0,555000,
234,0201010010000010010,090,20020101,16000,1979CY00,3,3,1,0,251000,
235,0201010010000010010,090,20020101,17000,1979CY00,3,3,1,0,266000,
236,0201010010000010010,090,20020101,18000,1979CY00,3,3,1,0,182000,
237,0201010010000010010,090,20020101,19000,1979CY00,3,3,1,0,183000,
238,0201010010000010010,090,20020101,20000,1979CY00,3,3,1,0,470000,
239,0201010010000010010,090,20020101,21000,1979CY00,3,3,1,0,469000,
240,0201010010000010010,090,20020101,22000,1979CY00,3,3,1,0,824000,
241,0201010010000010010,090,20020101,23000,1979CY00,3,3,1,0,1608000,
242,0201010010000010010,090,20020101,24000,1979CY00,3,3,1,0,383000,
243,0201010010000010010,090,20020101,25000,1979CY00,3,3,1,0,260000,
244,0201010010000010010,090,20020101,26000,1979CY00,3,3,1,0,593000,
245,0201010010000010010,090,20020101,27000,1979CY00,3,3,1,0,2157000,
246,0201010010000010010,090,20020101,28000,1979CY00,3,3,1,0,1239000,
247,0201010010000010010,090,20020101,29000,1979CY00,3,3,1,0,289000,
248,0201010010000010010,090,20020101,30000,1979CY00,3,3,1,0,241000,
249,0201010010000010010,090,20020101,31000,1979CY00,3,3,1,0,130000,
250,0201010010000010010,090,20020101,32000,1979CY00,3,3,1,0,167000,
251,0201010010000010010,090,20020101,33000,1979CY00,3,3,1,0,426000,
252,0201010010000010010,090,20020101,34000,1979CY00,3,3,1,0,650000,
253,0201010010000010010,090,20020101,35000,1979CY00,3,3,1,0,357000,
254,0201010010000010010,090,20020101,36000,1979CY00,3,3,1,0,175000,
255,0201010010000010010,090,20020101,37000,1979CY00,3,3,1,0,223000,
256,0201010010000010010,090,20020101,38000,1979CY00,3,3,1,0,332000,
257,0201010010000010010,090,20020101,39000,1979CY00,3,3,1,0,168000,
258,0201010010000010010,090,20020101,40000,1979CY00,3,3,1,0,1045000,
259,0201010010000010010,090,20020101,41000,1979CY00,3,3,1,0,194000,
260,0201010010000010010,090,20020101,42000,1979CY00,3,3,1,0,390000,
261,0201010010000010010,090,20020101,43000,1979CY00,3,3,1,0,380000,
262,0201010010000010010,090,20020101,44000,1979CY00,3,3,1,0,267000,
263,0201010010000010010,090,20020101,45000,1979CY00,3,3,1,0,259000,
264,0201010010000010010,090,20020101,46000,1979CY00,3,3,1,0,373000,
265,0201010010000010010,090,20020101,47000,1979CY00,3,3,1,0,309000,
266,0201010010000010010,090,20020101,01000,1980CY00,3,3,1,0,1298324,
267,0201010010000010010,090,20020101,02000,1980CY00,3,3,1,0,366454,
268,0201010010000010010,090,20020101,03000,1980CY00,3,3,1,0,326014,
269,0201010010000010010,090,20020101,04000,1980CY00,3,3,1,0,480552,
270,0201010010000010010,090,20020101,05000,1980CY00,3,3,1,0,263277,
271,0201010010000010010,090,20020101,06000,1980CY00,3,3,1,0,262704,
272,0201010010000010010,090,20020101,07000,1980CY00,3,3,1,0,466840,
273,0201010010000010010,090,20020101,08000,1980CY00,3,3,1,0,628466,
274,0201010010000010010,090,20020101,09000,1980CY00,3,3,1,0,433232,
275,0201010010000010010,090,20020101,10000,1980CY00,3,3,1,0,441548,
276,0201010010000010010,090,20020101,11000,1980CY00,3,3,1,0,1458421,
277,0201010010000010010,090,20020101,12000,1980CY00,3,3,1,0,1224914,
278,0201010010000010010,090,20020101,13000,1980CY00,3,3,1,0,2393687,
279,0201010010000010010,090,20020101,14000,1980CY00,3,3,1,0,1703063,
280,0201010010000010010,090,20020101,15000,1980CY00,3,3,1,0,552118,
281,0201010010000010010,090,20020101,16000,1980CY00,3,3,1,0,249935,
282,0201010010000010010,090,20020101,17000,1980CY00,3,3,1,0,265968,
283,0201010010000010010,090,20020101,18000,1980CY00,3,3,1,0,181496,
284,0201010010000010010,090,20020101,19000,1980CY00,3,3,1,0,182166,
285,0201010010000010010,090,20020101,20000,1980CY00,3,3,1,0,468613,
286,0201010010000010010,090,20020101,21000,1980CY00,3,3,1,0,470749,
287,0201010010000010010,090,20020101,22000,1980CY00,3,3,1,0,832816,
288,0201010010000010010,090,20020101,23000,1980CY00,3,3,1,0,1555359,
289,0201010010000010010,090,20020101,24000,1980CY00,3,3,1,0,385969,
290,0201010010000010010,090,20020101,25000,1980CY00,3,3,1,0,265737,
291,0201010010000010010,090,20020101,26000,1980CY00,3,3,1,0,575948,
292,0201010010000010010,090,20020101,27000,1980CY00,3,3,1,0,2067583,
293,0201010010000010010,090,20020101,28000,1980CY00,3,3,1,0,1227770,
294,0201010010000010010,090,20020101,29000,1980CY00,3,3,1,0,291486,
